number,name,author,copyright,copydate,lyrics
60,I See The Lord,Chris Falson,Maranatha,1993,"Verse (part 1):
I see the Lord
Seated on the throne exalted
And the train of His robe
Fills the temple with glory

Verse (part 2):
And the whole earth is filled
And the whole earth is filled
And the whole earth is filled
With His glory

Chorus:
Holy, holy, holy, holy
Holy is the Lord
Holy, holy, holy, holy
Holy is the Lord
"
62,I Will Be Your Friend,"Michael W. Smith, Cindy Morgan",Word/Lola Max,1999,"Verse 1:
So many memories, so many miles
The road that stretches behind us
We've had some laughter and our share of tears
But all these moments unite us

Chorus:
I'll be your friend for a lifetime
Against the wind and the rain of every season
Won't walk away in the hard times
I will be your friend,
I'm saying, I will be your friend

Verse 2:
Sure as the river runs to the sea
High as the mountain that reaches
You were there by my side till the end
Helped me on my feet again

Bridge:
So in the valley walk on, don't have to face it alone
Cause in the hard times we keep growing strong
As we learn as we live and we live and we give
"
63,I Will Celebrate,Rita Baloche,Maranatha,1990,"Chorus:
I will celebrate, sing unto the Lord
Sing to the Lord a new song
I will celebrate, sing unto the Lord
Sing to the Lord a new song

Verse:
With my heart rejoicing within
With my mind focused on Him
With my hands raised to the heavens
All I am worshipping Him
"
64,I Will Never Be,Geoff Bullock,Word/Maranatha,1995,"Verse 1:
I will never be the same again
I can never return, I've closed the door
I will walk the path, I'll run the race
And I will never be the same again

Chorus:
Fall like fire, soak like rain
Flow like mighty waters, again and again
Sweep away the darkness, burn away the chaff
And let a flame burn, to glorify Your name

Verse 2:
There are higher heights, there are deeper seas
Whatever You need to do, Lord, do it in me
The glory of God, fills my life
And I will never be the same again
"
65,I Will Offer Up My Life,Matt Redman,Thankyou,1994,"Verse 1:
I will offer up my life
In spirit and truth
Pouring out the oil of love
As my worship to you
In surrender I must give
My every part
Lord receive this sacrifice
Of a broken heart

Chorus (part 1):
Jesus what can I give, what can I bring
To so faithful a friend, to so loving a king
Savior what can be said
What can be sung
As a praise of Your name
For the things You have done

Chorus (part 2):
Oh my words could not tell
Not even in part
Of the debt of love that is owed
By this thankful heart

Verse 2:
You deserve my every breath
For You've paid the great cost
Giving up your life to death
Even death on the cross
You took all my shame away
There defeated my sin
Open up the gates of heaven
And have beckoned me in 
"
66,I Will Trust In You,Danny Daniels,Mercy/Vineyard,1987,"Verse 1:
When I can't see You, I know You're here
When I can't feel You, I will not fear
I will trust in You and I will not be afraid
And when the battle is close at hand
I know you're with me to help me stand
I will trust in You and I will not be afraid

Chorus:
I will not (I will not)
Be afraid (Be afraid)
I will not (I will not)
Be afraid (Be afraid)
I will trust in You (I will trust in You)
I will trust in You

Verse 2:
And when the darkness is closing in
And I am running against the wind
I will trust in You and I will not be afraid
‘Cause when I'm standing upon that shore
And all the battles have gone before
I will trust in You and I will not be afraid
"
67,In The Light,Charlie Peacock,Sparrow,1991,"Verse 1:
I keep trying to find a life
On my own apart from You
I am the king of excuses
I've got one for every selfish thing I do

Bridge:
Tell me what's going on inside of me?
I despise my own behavior
This only serves to confirm my suspicions
That I'm still a man in need of a Savior

Chorus:
I wanna be in the Light, as You are in the Light
I wanna shine like the stars in the Heavens
Oh Lord, be my Light, and be my salvation
‘Cause all I want is to be in the Light,
All I want is to be in the light

Verse 2:
The disease of self runs through my blood
It's a cancer fatal to my soul
Every attempt on my behalf has failed
To bring this sickness under control
"
68,In The Secret (I Want To Know You),Andy Park,Mercy/Vineyard,1995,"Verse 1:
In the secret, in the quiet place
In the stillness You are there
In the secret, in the quiet hour I wait
Only for You
‘Cause I want to know You more

Chorus:
I want to know You
I want to hear Your voice
I want to know You more
I want to touch You
I want to see Your face
I want to know You more

Verse 2:
I am reaching for the highest goal
That I might receive the prize
Pressing onward
Pushing every hindrance aside
Out of my way
‘Cause I want to know You more
"
69,It Is You,Peter Furler,Ariose,2002,"Verse:
As we lift up our hands, will You meet us here
As we call on Your name, will You meet us here
We have come to this place, to worship You
God of mercy and grace
It is You, we adore
It is You, praises are for
Only You, the heavens declare
It is You, it is You

Chorus:
Holy, holy is our God Almighty
Holy, holy is His name alone
Holy, holy is our God Almighty
Holy, holy is His name alone 
It is You, we adore
It is You, only You

Bridge:
As we lift up our hands, as we call on Your name
Will You visit this place, by Your mercy and grace
As we lift up our hands, as we call on Your name
Will You visit this place, by Your mercy and grace
It is You, we adore
It is You, it is You
"
70,Jehovah,Rita Springer,Mercy/Vineyard,1994,"Verse:
Jehovah (Jehovah), Redeemer (Redeemer)
Is the name of my God
Compassion (compassion)
And mercy (and mercy)
Is the name of my God

Chorus:
Lamb that was slain, giver of life
Beginning and end
Jesus the Christ
King of kings, and Lord of life
Is the name of my God
"
71,Jesus Loves Me,"Anna Warner, Ralph Manuel",Beckenhorst,1992,"Verse 1:
Jesus loves me this I know
For the Bible tells me so
Little ones to Him belong
They are weak but He is strong

Chorus:
Alleluia Allelu
Alleluia Alleluia
Alleluia Allelu
Alleluia Allelu

Verse 2:
Jesus loves me He who died
Heaven's gates to open wide
Washed away forgave my sin
Let His little child come in

Verse 3:
Jesus loves me loves me still
Though I'm very weak and ill
From His shining throne on high
Comes to watch me where I lie
"
72,"Jesus, Lover Of My Soul (It's All About You)",Paul Oakley,Thankyou,1995,"Chorus:
It's all about You, Jesus
And all this is for You
For Your glory and Your fame
It's not about me
As if You should do things my way
You alone are God and I surrender
To Your ways

Verse:
Jesus, Lover of my soul
All consuming fire is in Your gaze
Jesus, I want You to know
I will follow You all my days
For no one else in history is like You
And history itself belongs to You
Alpha and Omega, You have loved me
And I will share eternity with You
"
73,Jesus Lover Of My Soul,"Daniel Grul, John Ezzy, Steve McPherson",Hillsong,1992,"Verse:
Jesus, lover of my soul
Jesus, I will never let You go
You've taken me from the miry clay
Set my feet upon the rock and now I know

Chorus:
I love You, I need You, though my world may fall
I'll never let you go
My Savior, my closest friend
I will worship You until the very end

Bridge:
Worship You my Lord, until the very end"
74,Jesus You Alone,Tim Hughes,Thankyou,1999,"Verse 1:
Jesus, You alone shall be
My first love, my first love
The secret place and highest praise
Shall be Yours, shall be Yours

Pre-Chorus:
To Your throne I'll bring devotion
May it be the sweetest sound
Lord, this heart is reaching for You now

Chorus:
So I'll set my sights upon You
Set my life upon Your praise
Never looking to another way
You alone will be my passion
Jesus, You will be my song
You will find me longing after You

Verse 2:
Day and night I'll lift my eyes
To seek You, to seek You
Hungry for a glimpse of You 
In glory, In glory
"
75,Kindness,"Chris Tomlin, Jesse Reeves, Louie Giglio",worshiptogether.com/Six Steps,2000,"Verse 1:
Open up the skies of mercy
Rain down the cleansing flood
Healing waters rise around us
Hear our cries, Lord
Let ‘em rise

Chorus:
It's Your kindness, Lord
That leads us to repentance
Your favor, Lord
Is our desire
It's your beauty, Lord
That makes us stand in silence
And Your love, Your love is better than life

Verse 2:
We can feel Your mercy falling
You are turning our hearts back again
Hear our praises rise to heaven
Draw us near, Lord
Meet us here
"
76,Knowing You,Graham Kendrick,Make Way,1993,"Verse 1:
All I once held dear, built my life upon
All this world reveres and wars to own
All I once thought gain I have counted loss
Spent and worthless now compared to this

Chorus:
Knowing You, Jesus, knowing You
There is no greater thing
You're my all, You're the best
You're my joy, my righteousness
And I love You, Lord

Verse 2:
Now my heart's desire is to know You more
To be found in You and known as Yours
To possess by faith what I could not earn
All surpassing gift of righteousness

Verse 3:
Oh to know the power of Your risen life
And to know You in Your suffering
To become like You in Your death, my Lord
So with You to live and never die
"
77,Lean On Me,Toby McKeehan,Up In The Mix,1992,"Verse 1:
Sometimes in our lives
We all have pain, we all have sorrows
But, if we are wise
We know that there's, always tomorrow

Chorus:
Lean on me, when you're not strong
And I'll be your friend, I'll help you carry on
For it won't be long, ‘til I'm gonna need 
Somebody to lean on

Verse 2:
Please, swallow your pride
If I have things, you need to borrow
For, no one can fill
Those of your needs, that you won't let them show

Bridge:
You just call on your brother, when you need a hand
We all need somebody to lean on
I just might have some problems, that you'd understand
We all need somebody to lean on
"
78,Let Everything That Has Breath,Matt Redman,Kingsway's Thankyou,1997,"Chorus:
Let everything that, everything that
Everything that has breath praise the Lord
Let everything that, everything that
Everything that has breath praise the Lord

Verse 1:
Praise You in the morning, praise You in the evening
Praise You when I'm young and when I'm old
Praise You when I'm laughing, praise You when I'm grieving
Praise You ever season of the soul

Verse 1 (part 2):
If we could see how much You're worth
Your power, Your might, Your endless love
Then surely we would never cease to praise

Verse 2:
Praise You in the heavens, joining with the angels
Praising You forever and a day
Praise You on the earth now, joining with creation
Calling all the nations to Your praise

Verse 2 (part 2):
If they could see how much You're worth
Your power, Your might, Your endless love
Then surely they would never cease to praise
"
79,Let My Words Be Few,"Matt Redman, Beth Redman",Kingsway's Thankyou,2000,"Verse 1:
You are God in heaven
And here am I on Earth
So I'll let my words be few
Jesus I am so in love with You

Chorus:
And I'll stand in awe of You
Yes I'll stand in awe of You
And I'll let my words be few
Jesus I am so in love with You

Verse 2:
The simplest of all love songs
I long to bring to You
So I'll let my words be few
Jesus I am so in love with You
"
