number,name,author,copyright,copydate,lyrics
48,Holy Moment,Matt Redman,Thankyou,2000,"Verse 1:
As we come today we remind ourselves of what we do
That these songs are not just songs but signs of love for You
This is a holy moment now
Something of heaven touches Earth
Voices of angels all resound, we join their song

Chorus:
Come, come, come, let us worship God
With our hands held high, and our hearts bowed down
We will run, run, run, through Your gates, O God
With a shout of love, with a shout of love

Verse 2:
Lord with confidence we come before Your throne of grace
Not that we deserve to come but You have paid the way
You are the Holy King of all
Heaven and Earth are in Your hands
All of the angels sing Your song, we join them now"
49,House Of The Lord,Glen Veenstra,Joe Guy/Lehsem,1991,"Verse 1:
I love to live in Your house, O Lord
I love to be here at Your feet
And let Your words be the food I eat
The food I eat

Verse 2:
I love to live in Your house, O Lord
To dine at Your table with my King
And give to You the praise I bring
The praise I bring

Chorus:
For here in Your house, I find your embrace
You set on my head, a garland of grace
When I lift my hands
You fill me with more
Oh, I love to live in the house of the Lord
"
50,How Great Is Your Love,Mark Altrogge,Integrity/Sovereign Grace,1991,"Verse 1:
No eye has seen.  No ear has heard.
And no mind has ever conceived
The glorious things that You have prepared
For everyone who has believed
You brought us near and You called us Your own
And made us joint heirs with Your Son

Chorus:
How high and how wide
How deep and how long
How sweet and how strong is Your love
How lavish Your grace
How faithful Your ways
How great is Your love, Oh Lord

Verse 2:
Objects of mercy who should have known wrath
We're filled with unspeakable joy
Riches of wisdom, unsearchable wealth
And the wonder of knowing Your voice
You are our Treasure and our great reward
Our God and our glorious King
"
51,Hungry,Kathryn Scott,Vineyard,1999,"Verse 1:
Hungry, I come to You
For I know You satisfy
I am empty, but I know
Your love does not run dry
So I wait for You
So I wait for You

Chorus:
I'm falling on my knees
Offering all of me
Jesus, You're all this heart is living for

Verse 2:
Broken, I run to You
For Your arms are open wide
I am weary, but I know
Your touch restores my life
So I wait for You
So I wait for You"
52,I Could Sing Of Your Love Forever,Martin Smith,Curious?,1994,"Verse 1:
Over the mountains and the sea
Your river runs with love for me
And I will open up my heart
And let the Healer set me free

Verse 2:
I'm happy to be in the truth
And I will daily lift my hands
For I will always sing of
When Your love came down

Chorus:
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever

Bridge:
Oh I feel like dancing
It's foolishness I know
But when the world has seen the light
They will dance with joy
Like we're dancing now"
54,I Give Thanks,"Brian Thiessen, Dan Thiessen",Mercy/Vineyard,1991,"Verse 1:
You have shown me favor unending
You have given Your life for me
And my heart knows of Your goodness
Your blood has covered me

Chorus:
I will arise and give thanks
To You Lord my God
And Your name I will bless
With my whole heart
You have shown mercy
You have shown mercy to me
I give thanks to You, Lord

Verse 2:
You have poured out Your healing upon us
You have set the captives free
And we know, it's not what we've done
But by Your hand alone

Bridge:
You, oh Lord, are the Healer of my soul
You, oh Lord, are the Gracious Redeemer
You come to restore us again
Yes, You come to restore us again, and again"
55,I Give You My Heart,Reuben Morgan,Hillsong,1995,"Verse:
This is my desire, to honor You
Lord with all my heart, I worship You
With all I have within me, I give You praise
All that I adore is in You

Chorus:
Lord, I give You my heart
I give You my soul
I live for You alone
Every breath that I take
Every moment I'm awake
Lord, have Your way in me"
56,I Have Found,Marc Nelson,Mercy/Vineyard,1987,"Verse 1:
I have found such joy in my salvation
Since I gave my heart to You
I have found the reason I'm living
So in love, so near to You

Chorus:
I worship You my Lord
With all my life praise Your name
I worship You, worship You my Lord

Verse 2:
Oh my Lord my life I'm giving
A living sacrifice to You
Oh my Lord the reason I'm living
Is to serve and worship You"
58,I Lift My Eyes Up,Brian Doerksen,Mercy,1990,"Verse:
I lift my eyes up unto the mountains
Where does my help come from?
My help comes from You
Maker of heaven, Creator of the earth

Chorus:
Oh how I need You Lord
You are my only hope
You are my only prayer
So I will wait for You
To come and rescue me
Come and give me life
"
59,I Love You Lord,Laurie Klein,House Of Mercy,1978,"Chorus:
I love You Lord, and I lift my voice
To worship You, O my soul rejoice
Take joy, my King, in what You hear
May it be a sweet, sweet sound in Your ear
"
